upc,asin,cost,marketplace,group,title,author,img,rank,status,msg,oversize,weight,new-fba-offers,used-fba-offers,collectible-fba-offers,total-fba-offers,new-offers,used-offers,collectible-offers,total-offers,amazon_price,lowFBA,low-new-FBA,low-used-FBA,low-collectible-FBA,lowMFN,low-new-MFN,low-used-MFN,low-collectible-MFN,net_payout,margin_impact,margin_percent,profit_percent
838766009216,B0089MY2KK,$1.99 ,US,Health and Beauty,Vega Sport Natural Plant-based Recovery Accelerator 3 Single Packets - Apple Berry 3 X 0.96 Oz(27g) Powder,,http://ecx.images-amazon.com/images/I/41gJNoOnW8L.jpg,"785,181",accept,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766009216,B00CQ7OXB2,$1.99 ,US,Health and Beauty,Vega - Vega Sport Natural Plant Based Recovery Accelerator Apple Berry - 0.96 oz.,,http://ecx.images-amazon.com/images/I/51dqvOoUZdL.jpg,"450,193",accept,,no,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766009223,B00654O13C,$1.99 ,US,Health and Beauty,Vega Sport Natural Plant-based Recovery Accelerator  Single Packet - Tropical 0.96 Oz/27g Powder,,http://ecx.images-amazon.com/images/I/41ckOErvzdL.jpg,"550,330",accept,,no,0.2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766009223,B0089MUPCY,$1.99 ,US,Health and Beauty,Vega Sport Natural Plant-based Recovery Accelerator  3 Single Packets - Tropical 3 X 0.96 Oz(27g) Powder,,http://ecx.images-amazon.com/images/I/414IXDg%2BuKL.jpg,"906,116",accept,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766009223,B0089MVZ96,$1.99 ,US,Health and Beauty,Vega Sport Natural Plant-based Recovery Accelerator  2 Single Packets - Tropical 2 X 0.96 Oz(27g) Powder,,http://ecx.images-amazon.com/images/I/414IXDg%2BuKL.jpg,"839,355",accept,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766008042,B005MJCJW6,$51.99 ,US,Health and Beauty,Vega Sport Performance Protein Berry Tub 29 oz,,http://ecx.images-amazon.com/images/I/41mbrUz6PYL.jpg,"6,234",accept,,no,1.81,3,0,0,3,8,0,0,8,,$44.09 ,$44.09 ,,,$52.98 ,$52.98 ,,,($18.36),$33.63 ,-54.59%,-35.31%
838766008042,B00NIHI5XQ,$51.99 ,US,Health and Beauty,Vega Sport Performance Protein 29 oz Tub Berry,,http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm.gif,"1,039,924",accept,,no,2.15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766008059,B005H6UCHS,$51.99 ,US,Health and Beauty,Vega Sport Performance Protein Vanilla Tub 29.2 oz,,http://ecx.images-amazon.com/images/I/41LbCwTRe2L.jpg,"1,672",accept,,no,1.85,4,0,0,4,8,0,0,8,$49.99 ,$54.99 ,$54.99 ,,,$52.98 ,$52.98 ,,,($13.34),$38.65 ,-34.51%,-25.66%
838766008066,B005O4ZJAS,$51.99 ,US,Health and Beauty,Vega Sport Performance Protein Chocolate Tub 29oz,,http://ecx.images-amazon.com/images/I/41hT1iy11cL.jpg,"2,068",accept,,no,2,3,0,0,3,8,0,0,8,$49.99 ,$54.99 ,$54.99 ,,,$50.00 ,$50.00 ,,,($13.34),$38.65 ,-34.51%,-25.66%
838766008066,B00NIHJKIA,$51.99 ,US,Health and Beauty,Vega Sport Performance Protein 29 oz Tub Chocolate,,http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm.gif,,accept,,no,2.15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766008141,B005KA7XN2,$33.59 ,US,Health and Beauty,Vega Sport Performance Protein Berry -- 12 Packets,,http://ecx.images-amazon.com/images/I/41nl7OfzG3L.jpg,"459,842",accept,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766008141,B005MJCKKM,$33.59 ,US,Health and Beauty,Vega Sport Performance Protein Berry 12 Count,,http://ecx.images-amazon.com/images/I/41cwixsdv3L.jpg,"48,454",accept,,no,1,3,1,0,4,4,1,0,5,,$20.05 ,$26.99 ,$20.05 ,,$34.98 ,$34.98 ,,,($19.97),$13.62 ,-146.62%,-59.45%
838766008158,B005MJCKWU,$33.59 ,US,Health and Beauty,Vega Sport Performance Protein Vanilla 12 Count,,http://ecx.images-amazon.com/images/I/41Ik8RnPIGL.jpg,"42,836",accept,,no,1.1,2,0,0,2,5,0,0,5,$29.99 ,$36.99 ,$36.99 ,,,$32.98 ,$32.98 ,,,($11.52),$22.07 ,-52.20%,-34.30%
838766008165,B005QDXU6M,$33.59 ,US,Health and Beauty,Vega Sport Performance Protein Chocolate 12 Count,,http://ecx.images-amazon.com/images/I/41CbA9lbr%2BL.jpg,"32,221",accept,,no,1.1,2,1,0,3,6,1,0,7,$29.99 ,$27.66 ,$36.99 ,$27.66 ,,$29.44 ,$29.44 ,,,($11.51),$22.08 ,-52.13%,-34.27%
838766008240,B00654O560,$2.79 ,US,Health and Beauty,Vega Sport Natural Plant-based Performance Protein 25g Protein 5500mg BCAAs 5000mg Glutamine - Berry 1.2 Oz/34g Powder Pouche,,http://ecx.images-amazon.com/images/I/51KIfHOGGeL.jpg,"628,597",accept,,no,0.2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766008257,B007J5QGNY,$2.79 ,US,Health and Beauty,Vega Sport Natural Plant-based Performance Protein 25g Protein 5500mg BCAAs 5000mg Glutamine  2 PAK - Vanilla Flavor 1.2 Oz/35g Powder,,http://ecx.images-amazon.com/images/I/51vmwavIFWL.jpg,"758,651",accept,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766008264,B005V3TWOG,$2.79 ,US,Health and Beauty,Vega Sport Natural Plant-based Performance Protein 26g Protein 5500mg Bcaas 5000mg Glutamine - Chocolate Flavor 1.3 Oz/37g Powder Pouche,,http://ecx.images-amazon.com/images/I/41u55Z-L3PL.jpg,"481,121",accept,,no,0.05,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766080185,B00IZO6CQ4,$33.43 ,US,Health and Beauty,Vega Sport Protein Bar Chocolate Coconut -- 12 Bars,,http://ecx.images-amazon.com/images/I/41tHELHzGzL.jpg,"394,286",accept,,no,1.85,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766080185,B00MU1LS8U,$33.43 ,US,Health and Beauty,Vega Sport Protein Bar Chocolate Coconut 12 Count 2.14 Oz. Bars,,http://ecx.images-amazon.com/images/I/41S3J5DTlUL.jpg,"13,914",accept,,no,0,1,1,0,2,4,1,0,5,$29.99 ,$27.09 ,,$27.09 ,,$38.94 ,$38.94 ,,,($11.34),$22.09 ,-51.34%,-33.92%
838766080192,B00MXT7KEK,$33.43 ,US,Health and Beauty,Vega Sport Protein Bar Chocolate Peanut Butter Box SeQuel 12(2.14oz) Box,,http://ecx.images-amazon.com/images/I/41%2BVXR2SYpL.jpg,"192,775",accept,,no,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766080192,B00NBZAX4E,$33.43 ,US,Health and Beauty,Vega - VEGA SPORT PROTEIN BAR CHOCOLATE PEANUT BUTTER 12 bars,,http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm.gif,,accept,,no,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
