VIN,UPC,BRAND,DESCRIPTION,PK Size,PK_UOM,ITEM STRENGTH,STRENGTH UOM,ITEM SIZE,ITEM UOM,WHLSALE,MSRP,MAP,HEIGHT,WIDTH,DEPTH,WEIGHT,Case Height,Case Width,Case Length,Case Weight,Case Pack,Case Cost,Notes
LYCO,790011120117,JARROW,Lyco-Sorb,1,EA,10,MG,30,SFTGELS, $6.00 , $11.95 ,,3.23,1.84,1.84,0.1,4,6.5,8.5,1.4,12, $72.00 ,
LYCO60,790011120124,JARROW,Lyco-Sorb,1,EA,10,MG,60,SFTGELS, $11.00 , $21.95 ,,3.41,2.015,2.015,0.15,4.5,6.5,9,2,12, $132.00 ,
M3,790011010036,JARROW,Multi 1-to-3,1,EA,N/A,N/A,100,TABS, $14.00 , $24.95 ,,4.42,2.5,2.5,0.55,5,8.5,11,6.8,12, $168.00 ,
MAGT,790011290629,JARROW,MagMind�,1,EA,"2,000",MG,90,CAPS, $19.50 , $38.95 ,,4.25,2.5,2.5,0.25,5,8.5,11,3.2,12, $222.00 ,
MB,790011130048,JARROW,Mineral Balance,1,EA,N/A,N/A,120,CAPS, $8.50 , $16.95 ,,4.42,2.5,2.5,0.36,5.5,8.5,11,4.52,12, $102.00 ,
MEGAPC,790011160014,JARROW,Mega PC-35 (Lecithin),1,EA,1200,MG,120,SFTGELS, $8.50 , $16.95 ,,4.875,2.6,2.6,0.55,5,8.5,11,6.8,12, $90.00 ,
MELO,790011150107,JARROW,Mellow Tonin,1,EA,3,MG,60,CAPS, $4.00 , $7.95 ,,3.41,2.015,2.015,0.1,4,6.5,9,1.4,12, $48.00 ,
METAL,790011290353,JARROW,Heavy Metal Detox,1,EA,N/A,N/A,90,CAPS, $17.50 , $34.95 ,,4.25,2.25,2.25,0.24,5,8,10.5,3.08,12, $210.00 ,
MGUM,790011230076,JARROW,Mastic Gum,1,EA,500,MG,60,CAPS, $16.00 , $31.95 ,,3.645,2.09,2.09,0.16,5,8,10.5,2.12,12, $180.00 ,
MK7,790011300014,JARROW,MK-7,1,EA,90,MCG,60,SFTGELS, $12.00 , $23.95 , $16.77 ,3.23,1.84,1.84,0.1,4,6,8,1.4,12, $144.00 ,
MMEAL,790011210122,JARROW,"Muscle OptiMeal, Vanilla",1,EA,N/A,N/A,908,GM, $25.00 , $39.95 ,,9.5,5.5,5.5,2.3,10.5,11.5,17,14,6, $108.00 ,
MOC,790011210191,JARROW,"Muscle OptiMeal, Chocolate",1,EA,N/A,N/A,908,GM, $25.00 , $39.95 ,,9.5,5.5,5.5,2.3,10.5,11.5,17,14,6, $108.00 ,
MP,790011130079,JARROW,Magnesium Optimizer,1,EA,N/A,N/A,100,TABS, $6.00 , $11.95 ,,4.22,2.382,2.382,0.5,5,8,10.5,6.2,12, $72.00 ,
MRCAP,790011170129,JARROW,Mushroom Optimizer,1,EA,N/A,N/A,90,CAPS, $8.50 , $16.95 ,,3.815,2.21,2.21,0.2,4.5,7,9.5,2.6,12, $102.00 ,
MSM100,790011190110,JARROW,MSM Sulfur,1,EA,1000,MG,100,CAPS, $6.00 , $11.95 ,,4.22,2.382,2.382,0.3,5,8,10.5,3.8,12, $72.00 ,
MSM120,790011190165,JARROW,MSM 1000,1,EA,1000,MG,120,TABS, $7.50 , $14.95 ,,4.42,2.5,2.5,0.45,5,8.5,11,5.6,12, $90.00 ,
MSM200,790011190134,JARROW,MSM Sulfur,1,EA,1000,MG,200,CAPS, $10.00 , $19.95 ,,5.16,2.825,2.825,0.65,6,10,13,8,12, $120.00 ,
MSMBG,790011190141,JARROW,MSM Sulfur,1,EA,1000,MG/SCOOP,454,GM, $14.00 , $27.95 ,,5.525,3.5,3.5,1.2,7,11.5,15,14.6,12, $168.00 ,
MSMKILO,790011190172,JARROW,MSM Sulfur,1,EA,1000,MG/SCOOP,1000,GM, $24.00 , $44.95 ,,7.039,4.75,4.75,2.45,7.5,12.5,16.5,14.9,6, $144.00 ,
MSMPD,790011190103,JARROW,MSM Sulfur,1,EA,1000,MG/SCOOP,200,GM, $7.00 , $13.95 ,,4.875,2.6,2.6,0.52,5.5,9,11,6.44,12, $84.00 ,
MSS,790011150114,JARROW,Melatonin Sustain,1,EA,1,MG,60,TABS, $4.00 , $7.95 ,,3.645,2.09,2.09,0.15,4.5,6.5,9,2,12, $48.00 ,
MSS120,790011150145,JARROW,Melatonin Sustain,1,EA,1,MG,120,TABS, $6.00 , $11.95 ,,3.645,2.09,2.09,0.25,4.5,6.5,9,3.2,12, $72.00 ,
NAC,790011070023,JARROW,N-A-C ,1,EA,500,MG,100,CAPS, $9.00 , $17.95 ,,3.645,2.09,2.09,0.45,4.5,7,9,5.6,12, $108.00 ,
NAC200,790011070030,JARROW,N-A-C ,1,EA,500,MG,200,CAPS, $16.50 , $32.95 ,,4.875,2.6,2.6,0.45,5.5,8.5,11,5.6,12, $198.00 ,
NAG120,790011190028,JARROW,NAG 750,1,EA,750,MG,120,CAPS, $12.00 , $23.95 ,,4.42,2.5,2.5,0.3,5,8,10.5,3.8,12, $144.00 ,
NAT1,790011210351,JARROW,"Whey Protein, Unflavored",1,EA,N/A,N/A,454,GM, $13.00 , $23.95 ,,6.5,4.75,4.75,0.85,7,10,15,5.3,6, $78.00 ,
NAT1ORG,790011218173,JARROW,"Organic Whey Protein, Unflavored",1,EA,N/A,N/A,454,GM, $21.00 , $36.95 ,,6.5,4.75,4.75,1.25,7,10,15,15,12, $252.00 ,
NATMAX,790011290148,JARROW,NattoMax ,1,EA,100,MG,30,CAPS, $9.00 , $17.95 ,,3.23,1.84,1.84,0.05,4,6,8,0.8,12, $108.00 ,
NATT,790011150510,JARROW,N-Acetyl Tyrosine,1,EA,350,MG,120,CAPS, $10.00 , $19.95 ,,4.875,2.6,2.6,0.28,5,8,10.5,3.56,12, $120.00 ,
NEURO,790011560012,JARROW,Neuro Optimizer,1,EA,N/A,N/A,120,CAPS, $25.00 , $49.95 ,,4.875,2.6,2.6,0.7,5.5,8.5,11.5,8.6,12, $300.00 ,
NMAX90,790011290438,JARROW,NattoMax,1,EA,100,MG,90,CAPS, $15.00 , $29.95 ,,3.23,1.84,1.84,0.15,4.5,6.5,9,2,12, $180.00 ,
OPC1,790011140207,JARROW,OPCs + 95,1,EA,100,MG,100,CAPS, $15.00 , $29.95 ,,3.645,2.09,2.09,0.15,4.5,7,9,2,12, $180.00 ,
PAK,790011010029,JARROW,Jarrow Pak Plus,1,EA,N/A,N/A,30,PKTS, $26.00 , $40.95 ,,5.25,6.25,5.25,0.7,10.5,13,13,12.8,18, $468.00 ,
PANT,790011180067,JARROW,Pantethine,1,EA,450,MG,60,SFTGELS, $15.00 , $29.95 ,,3.815,2.21,2.21,0.15,4.5,7,9.5,2,12, $180.00 ,
PC120,790011130147,JARROW,Potassium Citrate,1,EA,99,MG,120,TABS, $5.00 , $9.95 ,,3.79,2.21,2.21,0.25,4.5,7,9.5,3.2,12, $60.00 ,
PD,790011030027,JARROW,"Jarro-Dophilus + FOS, powder",1,EA,12 BILLION ORGANISMS,PER GM,70,GM, $12.00 , $23.95 ,,3.645,2.09,2.09,0.15,4.5,9,13,2,12, $138.00 ,
PETPD,790011030164,JARROW,"Pet Dophilus, powder",1,EA,4 BILLION ORGANISMS,PER GM,70.5,GM, $11.00 , $21.95 ,,3.645,2.09,2.09,0.2,4.5,9,13,5,24, $240.00 ,
PHMEG30,790011160502,JARROW,PhosphOmega,1,EA,"1,000",MG,30,SFTGELS, $10.00 , $19.95 ,,3.07,2.25,2.25,0.15,4.5,7,9.5,2,12, $120.00 ,
PHMEG60,790011160519,JARROW,PhosphOmega,1,EA,"1,000",MG,60,SFTGELS, $18.00 , $35.95 ,,4.25,2.37,2.37,0.26,5,7.5,10.5,3.32,12, $216.00 ,
PLANT,790011218166,JARROW,Optimal Plant Proteins,1,EA,N/A,N/A,540,GM, $12.00 , $21.95 ,,6.5,4.5,4.5,1.4375,7.5,10,14.5,8.825,6, $72.00 ,
POLI,790011200185,JARROW,Ultra Policosanols,1,EA,10,MG,100,SFTGELS, $12.00 , $23.95 ,,4.22,2.382,2.382,0.3,5,8.5,10.5,3.8,12, $144.00 ,
POM,790011200239,JARROW,Pomegranate Juice Concentrate,1,EA,N/A,N/A,12,FL OZ, $9.00 , $15.50 ,,7.75,2.5,2.5,1.65,3,3,8.5,20,12, $108.00 ,
POM24,790011200284,JARROW,Pomegranate Juice Concentrate,1,EA,N/A,N/A,24,FL OZ, $17.00 , $28.95 ,,8,3.25,3.25,2.9,3.5,3.5,8.5,35,12, $204.00 ,
POMCAP,790011140771,JARROW,PomGuard ,1,EA,500,MG,60,CAPS, $12.00 , $23.95 ,,3.815,2.21,2.21,0.1,4.5,7,9.5,1.4,12, $144.00 ,
PPS,790011160069,JARROW,PS-100,1,EA,100,MG,60,SFTGELS, $17.00 , $33.95 ,,3.645,2.09,2.09,0.15,4,7,9,2,12, $204.00 ,
PPSCAP,790011160205,JARROW,PS-100,1,EA,100,MG,120,CAPS, $26.00 , $51.95 ,,4.67,2.57,2.57,0.2,5,8,10.5,2.6,12, $312.00 ,
PQ10,790011120315,JARROW,PQQ (pyrroloquinoline quinone),1,EA,10,MG,30,CAPS, $10.50 , $20.95 ,,3.25,1.5625,1.5625,0.056,4,7,9,0.872,12, $126.00 ,
PQ20,790011120322,JARROW,PQQ (pyrroloquinoline quinone),1,EA,20,MG,30,CAPS, $17.00 , $33.95 ,,3.25,1.5625,1.5625,0.056,4,7,9,0.872,12, $204.00 ,
PR1300,790011090021,JARROW,Evening Primrose Oil 1300,1,EA,1300,MG,60,SFTGELS, $7.25 , $14.50 ,,4.22,2.382,2.382,0.3,5,7.5,10.5,3.8,12, $87.00 ,
PRENA,790011010234,JARROW,Preg-Natal + DHA,1,EA,N/A,N/A,30,PKTS, $12.50 , $24.95 ,,6.49,5.49,5.49,0.8,7,11.5,15,9.8,12, $150.00 ,
PROPT,790011290193,JARROW,Pressure Optimizer,1,EA,N/A,N/A,60,TABS, $19.00 , $37.95 ,,3.815,2.21,2.21,0.2,4.5,7.5,9.5,2.6,12, $216.00 ,
PROS,790011290049,JARROW,Prostate Optimizer,1,EA,N/A,N/A,90,SFTGELS, $18.00 , $35.95 ,,4.42,2.5,2.5,0.35,5,8,11,4.4,12, $198.00 ,
PS,790011160052,JARROW,PS-100,1,EA,100,MG,30,SFTGELS, $9.00 , $17.95 ,,3.41,2.015,2.015,0.05,4,7,9,0.8,12, $108.00 ,
PSBOM,055358335014,OMEGA,Pumkin Seed Butter (Organic),1,EA,N/A,N/A,568,GM, $13.00 , $20.95 ,,4.5,3.5,3.5,1.4,5,7.5,11.5,8.6,6, $78.00 ,
PSCAP,790011160199,JARROW,PS-100,1,EA,100,MG,60,CAPS, $15.00 , $29.95 ,,3.41,2.015,2.015,0.3,4,7,9,3.8,12, $180.00 ,
PTERO,790011200406,JARROW,Pterostilbene,1,EA,50,MG,60,CAPS, $15.00 , $29.95 ,,3.25,1.75,1.75,0.06,4,7,9,0.92,12, $180.00 ,
PY,790011140054,JARROW,Ultra Saw Palmetto + Pygeum,1,EA,N/A,N/A,60,SFTGELS, $11.00 , $21.95 ,,3.645,2.09,2.09,0.1,4.5,6.5,9,1.4,12, $132.00 ,
PY120,790011140535,JARROW,Ultra Saw Palmetto + Pygeum,1,EA,N/A,N/A,120,SFTGELS, $18.50 , $36.95 ,,4.22,2.382,2.382,0.28,5,8,10,3.56,12, $222.00 ,
Q100,790011060031,JARROW,Co-Q10,1,EA,100,MG,60,CAPS, $11.00 , $21.95 ,,3.23,1.84,1.84,0.1,4,6,8,1.4,12, $120.00 ,
Q230,790011060178,JARROW,Co-Q10,1,EA,200,MG,30,CAPS, $9.00 , $17.95 ,,3.23,1.84,1.84,0.05,4,6,8,0.8,12, $96.00 ,
Q260,790011060161,JARROW,Co-Q10,1,EA,200,MG,60,CAPS, $16.00 , $31.95 ,,3.23,1.84,1.84,0.1,4,6,8,1.4,12, $180.00 ,
Q3,790011060017,JARROW,Co-Q10,1,EA,30,MG,60,CAPS, $6.00 , $11.95 ,,3.23,1.84,1.84,0.06,4,6,8,0.92,12, $66.00 ,
Q60,790011060048,JARROW,Co-Q10,1,EA,60,MG,60,CAPS, $9.00 , $17.95 ,,3.23,1.84,1.84,0.1,4,6,8,1.4,12, $96.00 ,
QA120,790011060185,JARROW,Q-Absorb Co-Q10 ,1,EA,100,MG,120,SFTGELS, $25.00 , $49.95 ,,4.875,2.6,2.6,0.46,5.5,8.5,11,5.72,12, $300.00 ,
QH200,790011060246,JARROW,QH-Absorb ,1,EA,200,MG,30,SFTGELS, $25.00 , $49.95 ,,3.815,2.21,2.21,0.15,4.5,7,9.5,2,12, $300.00 ,
QH260,790011060260,JARROW,QH-Absorb,1,EA,200,MG,60,SFTGELS, $40.00 , $79.95 ,,3.87,2.25,2.25,0.26,4.5,7,9.5,3.32,12, $480.00 ,
QHAB120,790011060253,JARROW,QH-Absorb,1,EA,100,MG,120,SFTGELS, $40.00 , $79.95 ,,5,2.67,2.67,0.48,5.5,8,11,5.96,12, $480.00 ,
QHAB60,790011060192,JARROW,QH-Absorb,1,EA,100,MG,60,SFTGELS, $25.00 , $49.95 , $34.97 ,3.815,2.21,2.21,0.26,4.5,7,9.5,3.32,12, $300.00 ,
QHPOM,790011290643,JARROW,QH-Pomegranate,1,EA,N/A,N/A,30,SFTGELS, $18.00 , $35.95 ,,3.75,2,2,0.16,4.5,7,9,2.12,12, $216.00 ,
QHPQ,790011060277,JARROW,QH + PQQ (ubiquinol + pyrroloquinoline quinone),1,EA,N/A,N/A,30,SFTGELS, $20.00 , $39.95 ,,3.75,2,2,0.15,4.5,7,9,2,12, $240.00 ,
QPS,790011060130,JARROW,Q-Absorb Co-Q10,1,EA,30,MG,60,SFTGELS, $8.00 , $15.95 ,,3.815,2.21,2.21,0.25,4.5,7,9.5,3.2,2, $96.00 ,
QQ130,790011060154,JARROW,Q-Absorb Co-Q10,1,EA,100,MG,30,SFTGELS, $10.00 , $19.95 ,,3.41,2.015,2.015,0.14,4.5,7,9,1.88,12, $120.00 ,
QQ160,790011060123,JARROW,Q-Absorb Co-Q10,1,EA,100,MG,60,SFTGELS, $18.00 , $35.95 ,,3.815,2.21,2.21,0.26,4.5,7,9.5,3.32,12, $216.00 ,
QSPS,790011060147,JARROW,Q-Absorb Co-Q10,1,EA,30,MG,120,SFTGELS, $13.00 , $25.95 ,,4.875,2.6,2.6,0.46,6,8,11,5.72,12, $156.00 ,
QUE200,790011140528,JARROW,Quercetin 500,1,EA,500,MG,200,CAPS, $29.00 , $57.95 ,,5.22,3.07,3.07,0.45,6,10,13,5.6,12, $312.00 ,
QUER,790011140160,JARROW,Quercetin 500,1,EA,500,MG,100,CAPS, $16.00 , $31.95 ,,4.22,2.382,2.382,0.25,5.5,8,10.5,3.2,12, $168.00 ,
RALA,790011200390,JARROW,R-Alpha Lipoic Acid,1,EA,N/A,N/A,60,CAPS, $15.00 , $29.95 ,,3.75,2,2,0.1,4.5,7,9,1.4,12, $180.00 ,
RES100,790011140818,JARROW,Resveratrol 100mg  ,1,EA,100,MG,60,CAPS, $10.50 , $20.95 , $14.67 ,3.645,2.09,2.09,0.4,4.5,7,9,5,12, $126.00 ,
RESBG,790011140849,JARROW,Resveratrol 100mg - Value Size,1,EA,100,MG,120,CAPS, $19.00 , $37.95 , $26.57 ,5,2.625,2.625,0.8,6,9,12,9.8,12, $228.00 ,
RESV,790011140610,JARROW,Resveratrol Synergy,1,EA,N/A,N/A,60,TABS, $10.50 , $20.95 ,,3.645,2.09,2.09,0.25,4.5,7.5,10.5,3.2,12, $126.00 ,
RESV120,790011140801,JARROW,Resveratrol Synergy ,1,EA,N/A,N/A,120,TABS, $19.00 , $37.95 ,,4.67,2.57,2.57,0.7,5.5,8.5,11,8.6,12, $228.00 ,
RESV200,790011140832,JARROW,Resveratrol Synergy ,1,EA,N/A,N/A,60,TABS, $20.00 , $39.95 ,,3.815,2.21,2.21,0.2,5,8,10.5,2.6,12, $240.00 ,
RHOD,790011140702,JARROW,Rhodiola Rosea 500,1,EA,500,MG,60,CAPS, $14.00 , $27.95 ,,3.645,2.09,2.09,0.15,4.5,6.5,9,2,12, $156.00 ,
RIB200,790011010302,JARROW,Ribose Powder,1,EA,N/A,N/A,200,GM, $20.00 , $39.95 ,,5.16,2.825,2.825,0.5,5.5,9.5,12.5,6.2,12, $240.00 ,
RIB400,790011010357,JARROW,Ribose Powder,1,EA,N/A,N/A,400,GM, $35.00 , $69.95 ,,5.75,3.75,3.75,1.044,7,11.5,15,12.73,12, $420.00 ,
RIB90,790011010333,JARROW,"Ribose, Chewable",1,EA,N/A,N/A,90,TABS, $12.00 , $23.95 ,,4.22,2.382,2.382,0.3,5,8,10.5,3.8,12, $144.00 ,
RIBPD,790011010258,JARROW,Ribose Powder,1,EA,N/A,N/A,100,GM, $11.00 , $21.95 ,,4.67,2.57,2.57,0.3,5.5,8.5,11,3.8,12, $132.00 ,
RICE70,790011210276,JARROW,Brown Rice Protein 70% Vanilla Flavor,1,EA,N/A,N/A,504,GM, $12.00 , $20.95 ,,6.5,4.75,4.75,1.4,7.5,10,15,8.6,6, $55.50 ,
RICEBER,790011218081,JARROW,Brown Rice Protein 70% Mixed Berry Flavor,1,EA,N/A,N/A,509,GM, $12.00 , $20.95 ,,6.5,4.75,4.75,1.4,7.5,10,15,8.6,6, $55.50 ,
RICECHOC,790011218074,JARROW,Brown Rice Protein 70% Chocolate Flavor,1,EA,N/A,N/A,550,GM, $12.00 , $20.95 ,,6.5,4.75,4.75,1.7,7.5,10,15,10.4,6, $55.50 ,
RYR,790011330011,JARROW,Red Yeast Rice + CoQ10,1,EA,650,MG,120,CAPS, $15.00 , $29.95 ,,4.26,2.26,2.26,0.17,5,8,11,2.24,12, $168.00 ,
SAC,790011030041,JARROW,Saccharomyces Boulardii + MOS,1,EA,5 BILLION ORGANISMS,PER CAP,90,CAPS, $13.50 , $26.95 , $18.87 ,4.625,2,2,0.25,5,8,10.5,1.88,12, $150.00 ,
SAC180,790011030294,JARROW,Saccharomyces Boulardii + MOS Value Size,1,EA,5 BILLION ORGANISMS,PER CAP,180,CAPS, $23.50 , $46.95 ,,4.75,2.625,2.625,0.48,6,10,13,5.84,12, $264.00 ,
SACBX,790011030270,JARROW,Saccharomyces Boulardii + MOS,1,EA,5 BILLION ORGANISMS,PER CAP,30,CAPS, $6.00 , $11.95 ,,5.125,4.75,0.75,0.14,5,8,10,3,20, $120.00 ,
